Code List Name,Code List Value,Code
Adjustable Strap Code List,Fully Adjustable,GM03ADSTFA
Adjustable Strap Code List,Partially Adjustable,GM03ADSTPA
Adjustable Strap Code List,Non-Adjustable,GM03ADSTNA
Adjustable Strap Code List,Other,GM03ADST99
Advertised Origin Code List,Imported,GM03ADVOIM
Advertised Origin Code List,Made in Canada,GM03ADVOMC
Advertised Origin Code List,Made in U.S.A.,GM03ADVOMU
Advertised Origin Code List,Made in U.S.A. and Imported,GM03ADVOUI
Advertised Origin Code List,Made in U.S.A. or Imported,GM03ADVOUO
Advertised Origin Code List,Made in another country*,GM04ADV099
Bag Type Code List,Backpack,GM03BGSTBA
Bag Type Code List,Saddle Bag,GM03BGSTSB
Bag Type Code List,Bucket Bag,GM03BGSTBB
Bag Type Code List,Satchel,GM03BGSTSA
Bag Type Code List,Clutch,GM03BGSTCL
Bag Type Code List,Shopper,GM03BGSTSJ
Bag Type Code List,Crossbody,GM03BGSTCR
Bag Type Code List,Shoulder Bag,GM03BGSTSH
Bag Type Code List,Diaper Bag,GM03BGSTDB
Bag Type Code List,Tote,GM03BGSTTT
Bag Type Code List,Duffel,GM03BGSTDU
Bag Type Code List,Waist Bag,GM03BGSTWB
Bag Type Code List,Hobo,GM03BGSTHB
Bag Type Code List,Wristlet,GM03BGSTWR
Bag Type Code List,Messenger Bag,GM03BGSTMB
Bag Type Code List,Other,GM04BGST99
Bag Type Code List,Pouch,GM03BGSTPH
Band Type Code List,Bangle,JW03WBNDBA
Band Type Code List,Bracelet,JW03WBNDBR
Band Type Code List,Cuff,JW03WBNDCU
Band Type Code List,NATO Strap,JW03WBNDNA
Band Type Code List,Strap,JW03WBNDST
Band Type Code List,Other,JW04WBND99
Beauty Area of Use Code List,Body,GM03BAOUBD
Beauty Area of Use Code List,Lip,GM03BAOULP
Beauty Area of Use Code List,Brow,GM03BAOUBR
Beauty Area of Use Code List,Multi,GM03BAOUMU
Beauty Area of Use Code List,Cheek,GM03BAOUCH
Beauty Area of Use Code List,Nall,GM03BAOUNA
Beauty Area of Use Code List,Eye,GM03BAOUEY
Beauty Area of Use Code List,Neck,GM03BAOUNE
Beauty Area of Use Code List,Face,GM03BAOUFA
Beauty Area of Use Code List,Pedi,GM03BAOUPE
Beauty Area of Use Code List,Hair,GM03BAOUHR
Beauty Area of Use Code List,Teeth,GM03BAOUTE
Beauty Area of Use Code List,Hand,GM03BAOUHN
Beauty Area of Use Code List,Other,GM04BAOU99
Beauty Area of Use Code List,Lash,GM03BAOULA
Beauty Treatment Specialty Code List,After Sun,GM03BTSPAS
Beauty Treatment Specialty Code List,Redness/Rosacea,GM03BTSPRR
Beauty Treatment Specialty Code List,Anti-Acne,GM03BTSPAA
Beauty Treatment Specialty Code List,Repair,GM03BTSPRE
Beauty Treatment Specialty Code List,Cellulite,GM03BTSPCE
Beauty Treatment Specialty Code List,Self Tan,GM03BTSPST
Beauty Treatment Specialty Code List,Conditioning,GM03BTSPCD
Beauty Treatment Specialty Code List,Shaving,GM03BTSPSH
Beauty Treatment Specialty Code List,Day,GM03BTSPDA
Beauty Treatment Specialty Code List,Uneven Skin Tone,GM03BTSPUN
Beauty Treatment Specialty Code List,Firming/Lifting,GM03BTSPFL
Beauty Treatment Specialty Code List,Wrinkles,GM03BTSPWR
Beauty Treatment Specialty Code List,Moisturizing,GM03BTSPMS
Beauty Treatment Specialty Code List,Heat and Sun Protection,GM03BTSPHS
Beauty Treatment Specialty Code List,Anti-Frizz,GM03BTSPAF
Beauty Treatment Specialty Code List,Oil Control,GM03BTSPOC
Beauty Treatment Specialty Code List,Clarifying,GM03BTSPCL
Beauty Treatment Specialty Code List,Straightening,GM03BTSPSG
Beauty Treatment Specialty Code List,Color Protection,GM03BTSPCP
Beauty Treatment Specialty Code List,Texturizing,GM03BTSPTX
Beauty Treatment Specialty Code List,Curl Defining,GM03BTSPCD
Beauty Treatment Specialty Code List,Thinning and Hair Loss,GM03BTSPTH
Beauty Treatment Specialty Code List,Damage Repair,GM03BTSPDR
Beauty Treatment Specialty Code List,Volumizing,GM03BTSPVO
Beauty Treatment Specialty Code List,Dry Scalp,GM03BTSPDS
Beauty Treatment Specialty Code List,Other,GM04BTSP99
Beauty Treatment Specialty Code List,Dullness,GM03BTSPDU
Beauty Treatment Specialty Code List,Night,GM03BTSPNI
Beauty Type Code List,After Shave,GM03BETYAS
Beauty Type Code List,Mask,GM03BETYMK
Beauty Type Code List,Base Coat,GM03BETYBC
Beauty Type Code List,Make-up Brush,GM03BETYMB
Beauty Type Code List,BB/CC,GM03BETYBB
Beauty Type Code List,Make-up Brush Cleaner,GM03BETYMC
Beauty Type Code List,Blush/Bronzer,GM03BETYBL
Beauty Type Code List,Mirror,GM03BETYMI
Beauty Type Code List,Blade Sharpener,GM03BETYBR
Beauty Type Code List,Moisturizer,GM03BETYΜΟ
Beauty Type Code List,Beauty Spray,GM03BETYBS
Beauty Type Code List,Multi-use Palette,GM03BETYMP
Beauty Type Code List,Cleansing Brush,GM03BETYCB
Beauty Type Code List,Make-up Remover,GM03BETYMR
Beauty Type Code List,Curling Iron,GM03BETYCI
Beauty Type Code List,Manicure Set,GM03BETYMS
Beauty Type Code List,Cleanser,GM03BETYCL
Beauty Type Code List,Nail Polish,GM03BETYNP
Beauty Type Code List,Conditioner,GM03BETYCN
Beauty Type Code List,Perfume/Cologne,GM03BETYPC
Beauty Type Code List,Concealer,GM03BETYCO
Beauty Type Code List,Plumper,GM03BETYPL
Beauty Type Code List,Diffuser,GM03BETYDI
Beauty Type Code List,Powder,GM03BETYΡΟ
Beauty Type Code List,Curler,GM03BETYEC
Beauty Type Code List,Primer,GM03BETYPR
Beauty Type Code List,Eyebrow Enhancer,GM03BETYEE
Beauty Type Code List,Pencil Sharpener,GM03BETYPS
Beauty Type Code List,Electric Razor,GM03BETYER
Beauty Type Code List,Pre-Shave,GM03BETYPE
Beauty Type Code List,Eye Shadow,GM03BETYES
Beauty Type Code List,Razor,GM03BETYRA
Beauty Type Code List,Exfoliator,GM03BETYEX
Beauty Type Code List,Razor Blade,GM03BETYRB
Beauty Type Code List,False Eyelashes,GM03BETYFE
Beauty Type Code List,Shave Brush,GM03BETYSB
Beauty Type Code List,Flat Iron,GM03BETYFI
Beauty Type Code List,Shaving Cream,GM03BETYSC
Beauty Type Code List,Foundation,GM03BETYFO
Beauty Type Code List,Sun Care,GM03BETYSU
Beauty Type Code List,Gloss,GM03BETYGL
Beauty Type Code List,Serum,GM03BETYSE
Beauty Type Code List,Groomer,GM03BETYGR
Beauty Type Code List,Shampoo,GM03BETYSH
Beauty Type Code List,Hair Brush,GM03BETYHB
Beauty Type Code List,Shave Bowl,GM03BETYSL
Beauty Type Code List,Hair Dryer,GM03BETYHD
Beauty Type Code List,Sponge,GM03BETYSP
Beauty Type Code List,Hair Spray,GM03BETYHS
Beauty Type Code List,Shave Set,GM03BETYSS
Beauty Type Code List,Hair Trimmer,GM03BETYНТ
Beauty Type Code List,Styling Product,GM03BETYST
Beauty Type Code List,Laquer,GM03BETYLA
Beauty Type Code List,Top Coat,GM03BETYTC
Beauty Type Code List,Lip Balm,GM03BETYLB
Beauty Type Code List,Toner/Clarifyer,GM03BETYΥΤΟ
Beauty Type Code List,Lip Liner,GM03BETYLI
Beauty Type Code List,Tinted Moisturizer,GM03BETYTM
Beauty Type Code List,Lip Stick,GM03BETYLS
Beauty Type Code List,Tweezer,GM03BETYTW
Beauty Type Code List,Mascara,GM03BETΥΜΑ
Beauty Type Code List,Other,GM04BETY99
Bedding Size Code List,Baby/Swaddle,GM03BDSZBS
Bedding Size Code List,Jumbo,GM03BDSZJU
Bedding Size Code List,Body,GM03BDSZBD
Bedding Size Code List,King,GM03BDSZKI
Bedding Size Code List,California King,GM03BDSZCK
Bedding Size Code List,Queen,GM03BDSZQU
Bedding Size Code List,Contour,GM03BDSZCN
Bedding Size Code List,Standard,GM03BDSZST
Bedding Size Code List,Crib,GM03BDSZCR
Bedding Size Code List,Throw,GM03BDSZTH
Bedding Size Code List,Euro,GM03BDSZEU
Bedding Size Code List,Twin,GM03BDSZTW
Bedding Size Code List,Full/Queen,GM03BDSZFQ
Bedding Size Code List,Twin Extra Long,GM03BDSZTX
Bedding Size Code List,Full/Standard,GM03BDSZFS
Bedding Size Code List,Other,GM04BDSZ99
Bedding Type Code List,Bedspread,GM03BEDTBS
Bedding Type Code List,Pillowcase,GM03BEDTPC
Bedding Type Code List,Comforter,GM03BEDTCM
